,block_timestamp,block_number,transaction_hash,log_index,contract_address,lastUpdateTime,ETH Price (Next OSM),coinAddress,coinUniswapPair,createdAt,createdAtBlock,currentCoinMedianizerUpdate,debtAvailableToSettle,erc20CoinTotalSupply,globalDebt,globalDebtCeiling,lastPeriodicUpdate,systemSurplus,totalActiveSafeCount,wethAddress,RedemptionRateAnnualizedRate,RedemptionRateHourlyRate,RedemptionRateEightHourlyRate,RedemptionPrice,RAIInUniswapV2(RAI/ETH),timestampDiff,ETH Price (OSM)
0,2021-04-05 23:09:57+00:00,12182570,0x97d4f653d6913c9cc85b5498df332e895ef6d079b2c3dc9c92b6231255d91dc5,282,0x6a4b575ba61d2fb86ad0ff5e5be286960580e71a,1617664197,2104.17097433,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '31041801.125122501466135463', 'reserve1': '45449.241501115477743756'}",1529678381,5834717,{'value': '3.089552584272848259'},0,35744128.158530230379891959,35983694.85927260111721464936215804,115792089237316195423570985008687.9,1617664197,187338.5959485606686820321694960594,984,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.8935778887539292,0.9999871551309502,0.9998972456672212,3.0305094719657997,31041801.125122502,-0.0,2117.65
1,2021-04-02 20:09:56+00:00,12162180,0x54b61efbebaadaf3cc7df50be548ec642d427c78a56608c038640ab5da8eeea1,231,0x6a4b575ba61d2fb86ad0ff5e5be286960580e71a,1617394196,2072.71377546,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '32035699.997107805187441075', 'reserve1': '47872.071777444302944171'}",1529678381,5834717,{'value': '3.087059599504075646'},13643.85936176352503894904953636526,36621857.506916628047720509,36868980.12807649336556033467084887,115792089237316195423570985008687.9,1617394196,184264.3263143241582880245129434617,981,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.8462949771361423,0.9999809491189806,0.9998476031136673,3.03342287142381,32035699.997107804,-0.0,2052.46474088
2,2021-04-02 07:13:07+00:00,12158673,0xd1a62352415d08be52cd4cebfefd7811bb0f3c5093dae1bd1b54b33f71202d89,259,0x6a4b575ba61d2fb86ad0ff5e5be286960580e71a,1617347587,1998.0,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '31509283.060081752223705783', 'reserve1': '48549.601237343784134703'}",1529678381,5834717,{'value': '3.063290021701211213'},13643.85936176352503894904953636526,35929070.304637658517611759,36175097.84301315391564853414540481,115792089237316195423570985008687.9,1617345116,183712.5657625425875127865653801174,983,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.911912236321644,0.9999894736255349,0.9999157921067413,3.034000373625078,31509283.060081754,-0.0,1991.76657446
3,2021-03-29 12:09:57+00:00,12134065,0x7fa7fb984f80e92dcf64f523fb5ceac5c55cc331ffc5a4905de19a63d542dc62,364,0x6a4b575ba61d2fb86ad0ff5e5be286960580e71a,1617019797,1777.28955517,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '36225653.949187886673282187', 'reserve1': '61849.752079055319972258'}",1529678381,5834717,{'value': '3.007335860269551736'},24653.20536874873589640898769725803,41104313.60308670894550387,41353159.82965628864125731758421892,115792089237316195423570985008687.9,1617019797,179640.3035482553016037784209888087,999,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.2422597840051617,1.0000247642481248,1.0001981311573533,3.0333003082562704,36225653.94918789,-0.0,1767.25164937
4,2021-03-25 20:09:47+00:00,12110194,0x3259bdf3aad1248337c27b9cba2ff9fb5127a89a0d6d08ce297d01498a52a277,41,0x6a4b575ba61d2fb86ad0ff5e5be286960580e71a,1616702987,1607.4,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '34427813.290379045822885935', 'reserve1': '63481.106398034507589562'}",1529678381,5834717,{'value': '2.944074679257019725'},49755.45276765162608995551015657265,40925246.895913380004668756,41191190.06752416993112726675898989,115792089237316195423570985008687.9,1616702987,175617.172673347380380196043242654,993,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.3956645888900745,1.0000380567412208,1.0003044944856891,3.0278856563039924,34427813.29037905,-0.0,1602.85118526
5,2021-03-22 17:11:06+00:00,12089899,0x3d9be15ed497a2cb9f6749ad6b78d0d5e3db39dcb7fd8d0dc74de7d5bc2d8648,190,0x6a4b575ba61d2fb86ad0ff5e5be286960580e71a,1616433066,1771.47,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '39183786.624696088056714711', 'reserve1': '65670.153165509729487403'}",1529678381,5834717,{'value': '2.957937604156935561'},39751.6743576715188389098826821296,43403731.392585009614677379,43650842.40166812414301912924501354,115792089237316195423570985008687.9,1616433066,170306.3432288867406609927463009169,1021,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.2128008305601925,1.000022024491478,1.0001762095146112,3.019945365237893,39183786.62469609,-0.0,1781.57
6,2021-03-07 10:11:42+00:00,11990733,0x36e10f77302673a4094770d706b4533ebd4f05ac201715a2aaee64c56bf231b8,206,0x6a4b575ba61d2fb86ad0ff5e5be286960580e71a,1615111902,1680.6942290000002,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '28885644.222644397216971876', 'reserve1': '53318.450820552406918822'}",1529678381,5834717,{'value': '3.188316439995607086'},869067.5810259069035699395447051432,32690327.120137897319458067,33723652.51227489833915131881062256,115792089237316195423570985008687.9,1615111902,146004.3658041712698176666279991248,839,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.30073018990561423,0.9998628471009225,0.9989033033686231,3.0302132184495583,28885644.222644396,-0.0,1686.1052731
7,2021-02-28 07:11:22+00:00,11944439,0x1e844a76ea3d059286b9d79d24b54bef6505b4ba553dd609ccff7cd3ccb3c7d1,230,0x6a4b575ba61d2fb86ad0ff5e5be286960580e71a,1614496282,1335.43215942,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '31532726.353497897827992134', 'reserve1': '75594.321871864624435374'}",1529678381,5834717,{'value': '3.23897259250387817'},304484.8924105946985074705409616594,36429616.064584642734974045,36794986.21006803189087037799812848,115792089237316195423570985008687.9,1614495610,49203.6921470275834198948108089457,802,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.281061092171454,0.999855126565556,0.9988416000269388,3.096099247871887,31532726.353497896,-0.0,1389.0896192599998
8,2021-02-24 11:10:12+00:00,11919458,0x8ac64d9c0e93ba4e0335f2373b75953699c7b01394a4009702df9ac99c3396a2,266,0x6a4b575ba61d2fb86ad0ff5e5be286960580e71a,1614165012,1686.41418712,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '20593517.94496926093089679', 'reserve1': '40233.360576769995350714'}",1529678381,5834717,{'value': '3.29620821474516149'},245699.4406619770926141951670888026,26533964.54597345485646036,26826967.91282472886838580414780845,115792089237316195423570985008687.9,1614165012,37332.0055450568122368194313357936,769,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.2752148716736911,0.999852727382792,0.9988224261817573,3.1165724967397916,20593517.94496926,-0.0,1684.53514054
9,2021-02-22 09:09:52+00:00,11905931,0xca317a89e948ff91daf29c1789391847a0dbfb39aa4efb47c0a21c79cbd7b026,192,0x6a4b575ba61d2fb86ad0ff5e5be286960580e71a,1613984992,1864.8983926800001,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '20585476.781006998866011216', 'reserve1': '35571.245059711790729486'}",1529678381,5834717,{'value': '3.264464917953973964'},17421.40634226086483970659265044209,26399839.149113717924347278,26430871.70710140971171354748323032,115792089237316195423570985008687.9,1613984992,3985.98928630946392479177343171418,835,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.8398357504163559,0.9999800745202635,0.9998406072783581,3.126092152701684,20585476.781007,-0.0,1874.44235419
10,2021-02-18 08:08:06+00:00,11879632,0xec2870dcced314187d1665903bbc22018c3f96537429397957d148fdfeece3c8,40,0x6a4b575ba61d2fb86ad0ff5e5be286960580e71a,1613635686,1902.40733,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '4028629.346695220421090462', 'reserve1': '7559.727572249055898123'}",1529678381,5834717,{'value': '3.405377281469854691'},846.1745167717419600463715557405962,5663597.639672332879365617,5664723.219358737485237601466761672,115792089237316195423570985008687.9,1613635551,191.3237011375562432026002539511768,212,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9999581557802105,0.9999999952231626,0.9999999617853018,3.1399973765571483,4028629.3466952206,-0.0,1898.31288521
11,2021-02-17 18:10:29+00:00,11875903,0xf17d605b38acf3e0fa405583d540e88376afdcaa98a1ff76d937184ec22092df,160,0x6a4b575ba61d2fb86ad0ff5e5be286960580e71a,1613585429,1819.47,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '2583205.428481160011332269', 'reserve1': '5156.52850839773362249'}",1529678381,5834717,{'value': '3.43242479601695882'},846.1745167717419600463715557405962,3534429.194271858503916905,3535409.480369628650963140594886008,115792089237316195423570985008687.9,1613584931,116.468446519437012910863641347913,117,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9999538911427704,0.9999999947363105,0.9999999578904847,3.1399975630069235,2583205.42848116,-0.0,1813.40745944
12,2021-02-17 17:07:53+00:00,11875635,0x7f0bf1db1cd71df452b0fc3e8cd2c46420f325a1c6230588bb8ea23ccaa8c080,89,0x6a4b575ba61d2fb86ad0ff5e5be286960580e71a,1613581673,1813.40745944,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '2345250.746272981921901131', 'reserve1': '4302.602722020405446227'}",1529678381,5834717,{'value': '3.43242479601695882'},846.1745167717419600463715557405962,2682859.195338347742182754,2683831.473547094941426709266913382,115792089237316195423570985008687.9,1613581235,113.0392167714368660313998714850297,96,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9999538911427704,0.9999999947363105,0.9999999578904847,3.139997580251108,2345250.746272982,-0.0,1813.81160303
13,2021-02-17 15:09:02+00:00,11875066,0xc7e75040bc47bec3f0f06d9870625ddf0cf98c2b19105591e568d499453a50af,229,0x6a4b575ba61d2fb86ad0ff5e5be286960580e71a,1613574542,1817.99821924,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '1734592.416584941058123212', 'reserve1': '3165.482523506695456575'}",1529678381,5834717,{'value': '3.859224199447107439'},846.1745167717419600463715557405962,1952343.118490994254846172,1953306.350378239072745359834479335,115792089237316195423570985008687.9,1613574058,107.8518147174694704796853945726811,56,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.999886598807461,0.9999999870539245,0.9999998964314,3.1399976320203766,1734592.416584941,-0.0,1819.8708544899998
14,2021-02-17 14:07:52+00:00,11874799,0xa673966b8d05f4a2e6497d8b1678948a126648f1f4121817df399848d820560f,22,0x6a4b575ba61d2fb86ad0ff5e5be286960580e71a,1613570872,1819.8708544899998,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '262204.136068535261737156', 'reserve1': '509.502683023935556669'}",1529678381,5834717,{'value': '3.859224199447107439'},846.1745167717419600463715557405962,421343.030490994254846172,422302.408088138116419818529792371,115792089237316195423570985008687.9,1613569901,106.0103992741321969166359161218292,30,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.999886598807461,0.9999999870539245,0.9999998964314,3.139997673461453,262204.13606853527,-0.0,1833.01
15,2021-02-17 00:12:42+00:00,11870974,0x9789b92ea33efb4d0ff68dbf146568fda54fcfc6c51444a212f93b1babfd8101,117,0x6a4b575ba61d2fb86ad0ff5e5be286960580e71a,1613520762,1782.58,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '1153.422981447018224969', 'reserve1': '2.255554244477388959'}",1529678381,5834717,{'value': '5.257544310613333265'},846.1745167717419600463715557405962,9784.515018562104188503,10733.07228393042461568621532158055,115792089237316195423570985008687.9,1613520522,101.9206100615458255061762292734445,10,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9996661611653415,0.999999961884182,0.9999996950734974,3.1399986817993737,1153.4229814470182,-0.0,1768.2599999999998
16,2021-02-16 22:08:59+00:00,11870443,0xe7618d9d54dc2bb2a2efca78b1421a170043d3470b71a40f4150ffc0964a1253,99,0x6a4b575ba61d2fb86ad0ff5e5be286960580e71a,1613513339,1753.89412084,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '998.881222394298059493', 'reserve1': '2.595985057940286682'}",1529678381,5834717,{'value': '4.982603331714175189'},846.1745167717419600463715557405962,9054.515018562104188503,10002.82076364474431855732514988873,115792089237316195423570985008687.9,1613504419,101.8737677218308615894326598409466,10,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.999709500395317,0.9999999668331275,0.9999997346650509,3.1399989158939343,998.8812223942981,-0.0,1747.76
17,2021-02-16 05:08:15+00:00,11865824,0x516a75bb094f9883f862c5cd4409bad1c74bd4481ba6b098360a3837fa37a291,121,0x6a4b575ba61d2fb86ad0ff5e5be286960580e71a,1613452095,1813.1566801200001,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '1053.964708368352970279', 'reserve1': '2.430169209633951588'}",1529678381,5834717,{'value': '17.513757357283865436'},846.1745167717419600463715557405962,7056.799518562104188503,8004.909406251387781073606551202994,115792089237316195423570985008687.9,1613450914,101.7451032740474329040709042772893,7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.0,1.0,1.0,3.14,1053.964708368353,-0.0,1816.15
18,2021-02-15 14:07:59+00:00,11861791,0x0bd6a051f934e7c8347d2acb14c3423eb6a159bd2e4de0c1139cc90e8a58e837,217,0x6a4b575ba61d2fb86ad0ff5e5be286960580e71a,1613398079,1803.89114874,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,"{'reserve0': '801.933726709008306816', 'reserve1': '1.418568601331794594'}",1529678381,5834717,{'value': '0'},0,3048.440432971667032725,3048.645954953510904626288422086589,115792089237316195423570985008687.9,1613394096,0.1161617985274885650688366678947734,3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.0,1.0,1.0,3.14,801.9337267090083,-0.0,1805.79273513
